StrideLeft,ContactTimeLeft,LeftOrder1,LeftOrder2,LeftOrder3,LeftOrder4,LeftOrder5,LPeak1,LPeak2,LPeak3,LPeak4,LPeak5,TIL0_1,TIL1_2,TIL2_3,TIL3_4,,StrideRight,ContactTimeRight,RightOrder1,RightOrder2,RightOrder3,RightOrder4,RightOrder5,RPeak1,RPeak2,RPeak3,RPeak4,RPeak5,TIR0_1,TIR1_2,TIR2_3,TIR3_4
4576,21,3,5,4,1,2,973,994,948,942,955,-125,12183,-31,12106
,,,,,,,,,,,,,,,,,456,228,4,1,2,0,3,997,892,980,2000,559,-76,-41,12673,0
1182,747,1,0,2,3,4,983,2000,979,953,932,670,41,-81,12106
,,,,,,,,,,,,,,,,,244,122,5,2,4,1,3,1000,877,980,659,562,777,-20,1212,1029
258,20,2,5,3,1,4,983,1000,981,942,932,-38,4,-76,1406
,,,,,,,,,,,,,,,,,176,88,0,1,3,0,2,2000,874,967,2000,535,0,1559,1212,1029
686,19,3,0,4,1,2,992,2000,997,961,922,0,1726,-68,1406
,,,,,,,,,,,,,,,,,624,312,5,1,3,2,4,999,857,972,608,564,836,2413,-78,3644
,,,,,,,,,,,,,,,,,5436,2718,0,2,0,3,1,2000,983,2000,834,847,-424,424,-78,3644
,,,,,,,,,,,,,,,,,6268,3134,0,0,0,0,1,2000,2000,2000,2000,889,-424,424,-78,3644
